1899,ポスト,,は具合が悪そうだ・・・,
1900,【TR】攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1901,能力戻し,,,
1902,,,,
1903,光り輝く,,が光り輝く・・・！,
1904,ボカーン,,は自爆した！,
1905,をたおした！,敵キャラの行動用。使用者が戦闘から離脱する。,,
1906,ジェラルシビレーナ,冷気の魔法で 敵全体に氷の刃
確率で 凍結させる,のシビレーナ・Lv4！！,
1907,ジェラルシビレーナ2,,,
1908,S光り輝く,,が光り輝く・・・！,
1909,Sボカーン,,は自爆した！,
1910,,,,
1911,ライトニングザッパー,華麗なる乱舞で四段攻撃を放つ。
\C[31]【変化技】,,
1912,ライトニングザッパー2,華麗なる乱舞で四段攻撃を放つ。
\C[31]【変化技】,のライトニングザッパー！,
1913,Jリブロキール,,のリブロキール！,
1914,,,,
1915,ジェラルシビレーナ,冷気の魔法で 敵全体に氷の刃
確率で 凍結させる,のシビレーナ・Lv4！,
1916,ジェラルシビレーナ2,,,
1917,ライトニングザッパー,華麗なる乱舞で四段攻撃を放つ。
\C[31]【変化技】,,
1918,ライトニングザッパー2,華麗なる乱舞で四段攻撃を放つ。
\C[31]【変化技】,のライトニングザッパー！,
1919,Sリブロトリガー,,,
1920,SJリブロキール,,のリブロキール！,
1921,●●バフキ●●,,はバフキエールを放った！,
1922,Sバフキダミー,,はバフキエールを放った！,
1923,●●Sバフキ●●,,,
1924,S一斉射撃,,テスター・Jの先制掃射！,
1925,一斉射撃,,モビルスローンの先制掃射！,
1926,,,,
1927,ドゥームズ・ラプチャー,敵単体にダメージを与える。
(会心対応),,
1928,ドゥームズ・ラプチャー2,敵単体にダメージを与える。
(会心対応),怨嗟の雷が\P[1]を斬り裂く！,
1929,,,,
1930,ラプチャーrogu,敵単体にダメージを与える。
(会心対応),のドゥームズ・ラプチャー！,
1931,,,,
1932,ドゥームズ・ラプチャー,敵単体にダメージを与える。
(会心対応),,
1933,ドゥームズ・ラプチャー2,敵単体にダメージを与える。
(会心対応),怨嗟の雷が\P[1]達を斬り裂く！,
1934,,,,
1935,ラプチャーbahuki,敵単体にダメージを与える。
(会心対応),のドゥームズ・ラプチャー！,
1936,,,,
1937,スローンA自爆,,,
1938,スローンB自爆,,,
1939,,,,
1940,テスターA自爆,,,
1941,テスターB自爆,,,
1942,,,,
1943,ギュルン！！,当たれば そのターンの間 相手の 防御力が 0になる
確定会心【先制発動】 ,の狙いすました一撃！,
1944,,,,
1945,,敵を選ばず怒涛の五連撃。,のラヴ・マシンガン！！,
1946,ラヴ・マシンガン,敵を選ばず疾風怒涛の五連撃。
【物:\I[6123]】,のラヴ・マシンガン！！,
1947,,,,
1948,パワースクリーム,大声で叫び、敵全体を確率でスタンさせる。,はパワースクリームを放った！,
1949,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
1950,攻撃ｗ２,敵単体にダメージを与える。
(会心対応),の攻撃！,
1951,,,,
1952,ドシコマイド,聖なる呪文でHPを250回復する。
対象:\C[6]【味方全員】,メカめ三等兵はドシコマイドを唱えた！,
1953,連続噛み,敵単体にダメージを与える。
(会心対応),メカめ二等兵は暴れ狂った！,
1954,メカメプリズン味方,,メカめ一等兵のメカメプリズン！,
1955,Wビーム,全体攻撃,Venきなこのスパーリングボム！,
1956,暴力SP,敵単体にダメージを与える。
(会心対応),の攻撃！,
1957,gurene-do ,,はグレネードを投げつけてきた！,
1958,防御指令,味方全員の防御力を少し強化する。
,の防御指令！,
1959,,,,
1960,攻撃指令,味方全員の攻撃力を少し強化する。
,の攻撃指令！,
1961,エムサクション,,はエムサクションを唱えた！,
1962,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
1963,パワースクリーム,大声で叫び、敵全体を確率でスタンさせる。,はパワースクリームを放った！,
1964,攻撃ｗ１,敵単体にダメージを与える。
(会心対応),の攻撃！,
1965,攻撃ｗ２,敵単体にダメージを与える。
(会心対応),の攻撃！,
1966,メカメプリズン,,のメカメプリズン！,
1967,詠唱,,の魔法攻撃！,
1968,オボレーナ・Lv4,,はオボレーナ・Lv4を唱えた！,
1969,ドシコマイド,聖なる力で味方全員のHPを300回復する
消費MP:20,はドシコマイドを唱えた！,
1970,攻撃ｗ２,敵単体にダメージを与える。
(会心対応),の攻撃！,
1971,バフキエール,,はバフキエールを放った！,
1972,不眠,催眠を無効化する。,,
1973,身体の一部,サングラスが閃光を遮断し、目潰しを無効化する。,,
1974,究極の抗体,絶対にヤク漬けにならない。,,
1975,かゆいな,強靭な肉体が物理ダメージを50%カットする。,,
1976,加減はしてやる,マジ覚状態の時に攻撃力が上昇(20%),,
1977,制御された身体,APPの回復ができない。,,
1978,タフネス精神,スタンを無効化する。,,
1979,目があるって不便だな,目潰しを無効化する。,,
1980,肉を斬らせて骨を断つ,物理攻撃を受けると 確定でカウンターを放つ。,,
1981,魔導士の心得,魔法ダメージを30%カットする。,,
1982,天才は風邪をひかないのさ,インフルを無効化する。,,
1983,秘密兵器っすよ,カウンターが必ず会心の一撃になる。,,
1984,だりゃああああああああ,封印状態にならない。,,
1985,鰓之呼吸流抜刀術,全スキルで会心の一撃が出せるようになる(会心率依存),,
1986,これが本物の"女子力"だ！,女子力が上昇(20%),,
1987,嘲笑する道化,能力値の弱体効果を無効化する。,,
1988,痛いのは一瞬だ！,会心の威力が上昇(20%),,
1989,アーツチェイサー,チェイン能力が使用できる。,,
1990,バイブスチャージ,自身の 回復効果が上昇(20%),,
1991,インフルの貴公子,インフル状態の時に攻撃力が上昇(8%),,
1992,チカラこそパワー,マジ覚状態の時に熱爆攻撃の威力が上昇(10%),,
1993,タギルエナジー,HPが満タン時に攻撃力が上昇(30%),,
1994,錬成術師,使用する攻撃系シリンダーアイテムの威力が上昇(50%),,
1995,こう使うのさ！,使用する攻撃系シリンダーアイテムの威力が上昇(10%)
シリンダーアイテムの攻撃が必ず会心の一撃になる。,,
1996,反撃の騎士,カウンター攻撃の威力とAPP取得値が上昇する。,,
1997,ヘタレスタイル,戦闘中、毎ターンMPを4%自動回復,,
1998,当方の眼を見ろ,即死を無効化する。,,
1999,ぶびゃああああああああ,ピンチ時 被ダメージ20%カット + 攻撃力が上昇(16%) 
,,
2000,メルティチャージ,自身の回復効果が上昇(20%),,
2001,引きずり出してあげよう,ターン開始時、味方にランダムで
物理ダメージ20%軽減付与,,
2002,その手は食らいませんよ！,魔法攻撃の回避率が上昇(30%),,
2003,びょいいいいいいいいい,ピンチ時 APP消費量-30%,,
2004,どこ狙ってんすか？,ピンチ状態の時に回避率が上昇(20%),,
2005,不屈の心,根性が確定で発動する。,,
2006,英雄なめんじゃねー！！,確率でバフキエールを無効化(50%),,
2007,ウイエアビリティ,,のアビリティ効果が発動！,
2008,,,,
2009,ネオパンチ,全体攻撃,のトゥルーンパンチ！,
2010,boss攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2011,,,,
2012,ネオパンチ,全体攻撃,のトゥルーンパンチ！,
2013,boss攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2014,,,,
2015,トゥルン・ストレート,威力の上下が大きいが、会心率が高い。,はトゥルン・ストレートを放った！,
2016,敵フカレーナ・Lv4,旋風の魔法が敵全体を切り刻む
確率で 防御力を下げる,の魔法攻撃！,
2017,フカレーナ・Lv4,,はフカレーナ・Lv4を唱えた！,
2018,,,,
2019,バフキエール,,はバフキエールを放った！,
2020,boss攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2021,地ならし,,はメガボンバーを放った！,
2022,地ならし,,はメガボンバーを放った！,
2023,トゥルン・ストレート,威力の上下が大きいが、会心率が高い。,はトゥルン・ストレートを放った！,
2024,,,,
2025,ネオパンチ,全体攻撃,のトゥルーンパンチ！,
2026,風撃魔法陣,,は旋風魔法陣を展開！,
2027,,,,
2028,damege,,\V[682] Damage Over！,
2029,,,,
2030,A発動,,,
2031,B発動,,,
2032,,,,
2033,アルケムチェインR1,ありったけの魔剤を敵全体に投げつける。
確率で敵の熱爆耐性を下げる,シュガシュガビームの効果が変化！,
2034,アルケムチェインR2,失敗作の魔剤を放り投げて攻撃。
ヤク漬の敵に対して威力が上昇する。,ケミカルダンパーの効果が変化！,
2035,アルケムチェインR3,巨大な魔剤ミサイルを敵全体に発射する。
確率でヤク漬け付与 \C[21]【ｸｰﾙﾀｲﾑ:1】,シュガシュガボンバーの効果が変化！,
2036,ボンバー,空気に触れると爆発する魔剤を敵全体に投げつける
高確率でヤク漬けにする。,,
2037,赤3段目チェイン,,,
2038,,,,
2039,アルケムチェインB1,ありったけの魔剤を敵全体に投げつける。
確率で敵の熱爆耐性を下げる,シュガシュガビームの効果が変化！,APP取得率が上昇!
2040,アルケムチェインB2,失敗作の魔剤を放り投げて攻撃。
ヤク漬の敵に対して威力が上昇する。,はケミカルダンパーを放った！,
2041,アルケムチェインB3,巨大な魔剤ミサイルを敵全体に発射する。
確率でヤク漬け付与 \C[21]【ｸｰﾙﾀｲﾑ:1】,はシュガシュガボンバーを放った！,
2042,ボンバー,空気に触れると爆発する魔剤を敵全体に投げつける
高確率でヤク漬けにする。,,
2043,,,,
2044,敏捷性UP,味方全員の敏捷性を少し強化する。
,チェイン効果発動！,
2045,会心UP,味方全員の会心率を強化する。,チェイン効果発動！,
2046,青3段目チェイン,,,
2047,,,,
2048,チェインアルケマイザー,1ターンだけ敵一体の被ダメージが1.5倍になる。
【鉄壁解除効果】【先制発動】\C[21]【ｸｰﾙﾀｲﾑ:5】,はオーツーアルケマイザーを放った！,
2049,エムシールド,味方全員の魔法耐性を上げるシールドを展開する。,はエムシールドを唱えた！,
2050,ダメージカット,\C[3]【\C[14]CHAIN\C[3]】\C[0]元の効果に加え、全体に物理ﾀﾞﾒｰｼﾞｶｯﾄ効果付与
,のプラチナム・メディシン！,
2051,,,,
2052,アルケムチェイン・R1,ﾑｷﾑｷ･ｱﾙｹﾑ → ｼｭｶﾞｼｭｶﾞﾋﾞｰﾑで効果発動。
敵の熱爆耐性と 氷撃耐性を下げる,,
2053,アルケムチェイン・R2,ﾑｷﾑｷ･ｱﾙｹﾑ → ｹﾐｶﾙﾀﾞﾝﾊﾟｰで効果発動。
敵の防御力を1段階下げる。,,
2054,アルケムチェイン・R3,ﾑｷﾑｷ･ｱﾙｹﾑ → ｼｭｶﾞｼｭｶﾞﾎﾞﾝﾊﾞｰで効果発動。
敵の敏捷性を1段階下げる。,,
2055,アルケムチェイン・B1,ｶﾁｶﾁ･ｱﾙｹﾑ → ｼｭｶﾞｼｭｶﾞﾋﾞｰﾑで効果発動。
APPを多く取得できる。,,
2056,アルケムチェイン・B2,ｶﾁｶﾁ･ｱﾙｹﾑ → ｹﾐｶﾙﾀﾞﾝﾊﾟｰで効果発動。
味方の会心率を強化する。,,
2057,アルケムチェイン・B3,ｶﾁｶﾁ･ｱﾙｹﾑ → ｼｭｶﾞｼｭｶﾞﾎﾞﾝﾊﾞｰで効果発動。
味方の敏捷性を1段階強化する。,,
2058,ストレンジ・メテオ,ﾑｷﾑｷ･ｱﾙｹﾑ起点の2ﾁｪｲﾝ目 → ｵｰﾂｰｱﾙｹﾏｲｻﾞｰで効果発動。
元の効果に加え、強力なダメージを与える。,,
2059,プラチナム・メディシン,ｶﾁｶﾁ･ｱﾙｹﾑ起点の2ﾁｪｲﾝ目 → ｴﾑｼｰﾙﾄﾞで効果発動。
元の効果に加え、味方全員に物理ﾀﾞﾒｰｼﾞｶｯﾄ効果を付与。,,
2060,,,,
2061,ストレンジ・メテオ,\C[3]【\C[14]CHAIN\C[3]】\C[0]元の効果に加え、フラスコを叩きつけて追撃する。
【物:\I[6120]】【超先制】【鉄壁破壊】\C[21]【ｸｰﾙﾀｲﾑ:5】,のストレンジ・メテオ！！,
2062,,,,
2063,敵カチカチ・アルケム,味方一人の防御力を大きく強化する。
,はカチカチ・アルケムを使った！,
2064,,,,
2065,It's Me, Zakro!,\C[10]-ｲｯﾂﾐｰ･ｻﾞｸﾛ!-　ざくろの大群が敵を蹂躙する。
分身が多いほど威力が上昇。【先制】 ,はざくろの群れを呼び寄せた！！,
2066,ざくろUS1,,,
2067,ざくろUS2,,,
2068,ざくろUS3,,,
2069,ざくろUS4,,,
2070,ita-nn ,,,
2071,グレネ,,ざくろ「くたばれジジイ！！,
2072,,,,
2073,Artefact Panzer,\C[10]-ｱｰﾃｨﾌｧｸﾄ･ﾊﾟﾝﾂｧｰ- 体力全回復 + APP50チャージし
マジ覚に突入。マジ覚時に効果が変化,,
2074,US,\C[10]-ｲｯﾂﾐｰ･ｻﾞｸﾛ!-　ざくろの大群が敵を蹂躙する。
分身が多いほど威力が上昇。【先制発動】 ,,
2075,Artefact Panzer,\C[10]-ｱｰﾃｨﾌｧｸﾄ･ﾊﾟﾝﾂｧｰ-  えがかれた鎧の巨人が敵を殲滅する。
使用後、味方全員に2ターンアンチバフキエールを付与する。,,
2076,ウイエUS1,,本の魔力がウイエに収束する！,
2077,CT-1,味方全員のクールタイムを1ターン減少させる。
ターンを消費せず 即発動する。\C[21]【ｸｰﾙﾀｲﾑ:5】,,
2078,ウイエUS2,,ウイエは二体の巨人をえがいた・・・！,
2079,ウイエUS3,,ウイエはマジ覚突入！,
2080,,,,
2081,ワカメリバイブ,味方一人を蘇生する。
消費MP:24,はテクノリバイブを唱えた！,
2082,メタルバレッタ,鋼鉄をも貫く弾丸を放つ。(メタルボディ特効)
【物:\I[6142]】,はメタルバレッタを放った！,
2083,,,,
2084,エッチプロテクション,使用ターンの間、味方全員にダメージ無効バリアを展開。
【先制】\C[21]【ｸｰﾙﾀｲﾑ:4】,はエッチプロテクションを唱えた！,
2085,オランジェットボンボン,先制攻撃ができる。発動後、続けてリロードを行う。
【物:\I[6142]】【先制】\C[21]【ｸｰﾙﾀｲﾑ:3】,はオランジェットボンボンを放った！,
2086,,,,
2087,ボンファイアー,強烈な業火を敵全体に浴びせる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,のボンファイアー！,
2088,,,,
2089,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2090,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2091,,,,
2092,マジ覚,,,
2093,,,,
2094,ネオアモーレ,全体攻撃,はアモーレパンチを放った！,
2095,メガボンバー,,はメガボンバーを放った！,
2096,防御,身を守ることに専念し、受けるダメージを抑える。,は身を守っている。,
2097,,,,
2098,ネオアモーレ,全体攻撃,はアモーレパンチを放った！,
2099,ラヴ・マシンガン,敵を選ばず怒涛の五連撃。
【物:\I[6123]】,はラヴ・マシンガンを放った！,
2100,,,,
2101,,,,
2102,詠唱・炎4,,の魔法攻撃！,
2103,アッチーナ・Lv4,,はアッチーナ・Lv4を唱えた！,
2104,詠唱・炎4,,の魔法攻撃！,
2105,アッチーナ・Lv4,,はアッチーナ・Lv4を唱えた！,
2106,ラヴ・マシンガン,敵を選ばず怒涛の五連撃。
【物:\I[6123]】,はラヴ・マシンガンを放った！,
2107,,,,
2108,バフキエール,,はバフキエールを放った！,
2109,ラヴ・マシンガン,敵を選ばず怒涛の五連撃。
【物:\I[6123]】,はラヴ・マシンガンを放った！,
2110,ネオアモーレ,全体攻撃,はアモーレパンチを放った！,
2111,,,,
2112,バフキエール,,はバフキエールを放った！,
2113,詠唱・炎4,,の魔法攻撃！,
2114,アッチーナ・Lv4,,はアッチーナ・Lv4を唱えた！,
2115,,,,
2116,攻撃槍,敵単体にダメージを与える。
(会心対応),の攻撃！,
2117,敵チェーンプリズン,鎖を敵全体にからませて攻撃
【物:\I[6142]】【ｽﾀﾝ付与(30%)】,のチェーンプリズン！,
2118,ブカブカパンツラッシュ敵,敵を選ばず危険な五連撃。
【物:\I[6142]】,はブカブカパンツラッシュを放った！,
2119,【TR】毒全体攻撃,敵単体にダメージを与える。
(会心対応),は猛毒を撒き散らした！,
2120,【TR】攻撃電撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2121,【TR】サイクロ光線敵,目からビームで敵全体を焼き払う,はサイクロ光線を放った！,
2122,【TR】エムドレイン,,はエムドレインを唱えた！,
2123,【TR】メガボンバー,,はメガボンバーを放った！,
2124,【TR】アモーレパンチ,全体攻撃,はアモーレパンチを放った！,
2125,【TR】詠唱・雷3,,の魔法攻撃！,
2126,【TR】シビレーナ・Lv3,,はシビレーナ・Lv3を唱えた！,
2127,【TR】詠唱・雷4,雷撃の魔法が敵全体を襲う
確率で スタンさせる,の魔法攻撃！,
2128,【TR】シビレーナ・Lv4,,はシビレーナ・Lv4を唱えた！,
2129,ギュルン！！,当たれば そのターンの間 相手の 防御が0になる会心技。
【物:\I[6142]】【先制】\C[3]【確定命中】 ,の狙いすました一撃！,
2130,タマキンジェノサイド,当たれば会心の一撃。防御中の敵に威力3倍
【物:\I[6142]】\C[3]【確定命中】 ,の狙いすました一撃！,
2131,慢心って言葉知ってる？,武器を投げずに切り刻む。当たれば会心の一撃。
【物:\I[6142]】\C[3]【確定命中】 ,の狙いすました一撃！,
2132,ボンボコクロー,無心で敵を葬り去る。当たれば会心の一撃。
【物:\I[6142]】\C[3]【確定命中】 ,の狙いすました一撃！,
2133,虚無の一矢,当たれば そのターンの間 相手の防御が0になる会心技。
【物:\I[6142]】【先制】 \C[3]【確定命中】 ,の狙いすました一撃！,
2134,煽の型･追誘欺,敵から狙われやすくなり、断罪剣の構えを取る。
【即発動】,「おめぇの体臭 古い油みてぇな,　　　　　臭いすんなぁ！
2135,煽の型･追誘欺,敵から狙われやすくなり、断罪剣の構えを取る。
【即発動】,「俺は全部 見てっからなあああ！！,
2136,煽の型･追誘欺,敵から狙われやすくなり、断罪剣の構えを取る。
【即発動】,「おめぇの体臭 古い油みてぇな,　　　　　臭いすんなぁ！
2137,煽の型･追誘欺,敵から狙われやすくなり、断罪剣の構えを取る。
【即発動】,「俺は全部 見てっからなあああ！！,
2138,ザッパー,華麗なる乱舞で四段攻撃を放つ。,はアニサキスザッパーを放った！,
2139,大爆発,,の身体が光り輝いた！,
2140,大爆発,,は自爆した！,
2141,【ﾏｻﾞﾌﾛ】炎・1,,の魔法攻撃！,
2142,【ﾏｻﾞﾌﾛ】炎・2,,の魔法攻撃！,
2143,【ﾏｻﾞﾌﾛ】炎・3,,の魔法攻撃！,
2144,【ﾏｻﾞﾌﾛ】炎・4,,の魔法攻撃！,
2145,【ﾏｻﾞﾌﾛ】氷・1,,の魔法攻撃！,
2146,【ﾏｻﾞﾌﾛ】氷・2,,の魔法攻撃！,
2147,【ﾏｻﾞﾌﾛ】氷・3,,の魔法攻撃！,
2148,【ﾏｻﾞﾌﾛ】氷・4,,の魔法攻撃！,
2149,【ﾏｻﾞﾌﾛ】雷・1,,の魔法攻撃！,
2150,【ﾏｻﾞﾌﾛ】雷・2,,の魔法攻撃！,
2151,【ﾏｻﾞﾌﾛ】雷・3,,の魔法攻撃！,
2152,【ﾏｻﾞﾌﾛ】雷・4,,の魔法攻撃！,
2153,【ﾏｻﾞﾌﾛ】風・1,,の魔法攻撃！,
2154,【ﾏｻﾞﾌﾛ】風・2,,の魔法攻撃！,
2155,【ﾏｻﾞﾌﾛ】風・3,,の魔法攻撃！,
2156,【ﾏｻﾞﾌﾛ】風・4,,の魔法攻撃！,
2157,【ﾏｻﾞﾌﾛ】水・1,,の魔法攻撃！,
2158,【ﾏｻﾞﾌﾛ】水・2,,の魔法攻撃！,
2159,【ﾏｻﾞﾌﾛ】水・3,,の魔法攻撃！,
2160,【ﾏｻﾞﾌﾛ】水・4,,の魔法攻撃！,
2161,,,,
2162,アッチーナ・Lv1,,はアッチーナ・Lv1を唱えた！,
2163,アッチーナ・Lv2,,はアッチーナ・Lv2を唱えた！,
2164,アッチーナ・Lv3,,はアッチーナ・Lv3を唱えた！,
2165,アッチーナ・Lv4,,はアッチーナ・Lv4を唱えた！,
2166,ツメテーナ・Lv1,,はツメテーナ・Lv1を唱えた！,
2167,ツメテーナ・Lv2,,はツメテーナ・Lv2を唱えた！,
2168,ツメテーナ・Lv3,,はツメテーナ・Lv3を唱えた！,
2169,ツメテーナ・Lv4,,はツメテーナ・Lv4を唱えた！,
2170,シビレーナ・Lv1,,はシビレーナ・Lv1を唱えた！,
2171,シビレーナ・Lv2,,はシビレーナ・Lv2を唱えた！,
2172,シビレーナ・Lv3,,はシビレーナ・Lv3を唱えた！,
2173,シビレーナ・Lv4,,はシビレーナ・Lv4を唱えた！,
2174,フカレーナ・Lv1,,はフカレーナ・Lv1を唱えた！,
2175,フカレーナ・Lv2,,はフカレーナ・Lv2を唱えた！,
2176,フカレーナ・Lv3,,はフカレーナ・Lv3を唱えた！,
2177,フカレーナ・Lv4,,はフカレーナ・Lv4を唱えた！,
2178,オボレーナ・Lv1,,はオボレーナ・Lv1を唱えた！,
2179,オボレーナ・Lv2,,はオボレーナ・Lv2を唱えた！,
2180,オボレーナ・Lv3,,はオボレーナ・Lv3を唱えた！,
2181,オボレーナ・Lv4,,はオボレーナ・Lv4を唱えた！,
2182,,,,
2183,ﾊﾞｰｻｸ･ｱｯﾌﾟﾃﾞｰﾄ,味方全員の攻撃力を少し強化する。
,のﾊﾞｰｻｸ･ｱｯﾌﾟﾃﾞｰﾄ！,
2184,エムシールド,味方全員の魔法耐性を上げるシールドを展開する。,はエムシールドを唱えた！,
2185,敵エムシールド,味方全員の魔法耐性を上げるシールドを展開する。,はエムシールドを唱えた！,
2186,ちゃーじ,,のマイドニックバスター！,
2187,詠唱・雷4,,の魔法攻撃！,
2188,シビレーナ・Lv4,,はシビレーナ・Lv4を唱えた！,
2189,ダメージスコア,,\C[6]\V[682]  Damage Over！,
2190,トレーニング,,\C[6]トレーニング開始！,
2191,グレート,,　MAX Damage  \V[848]  →  \C[3]\V[849],
2192,マックスダメ,,　MAX Damage  \V[849],
2193,瞬間火力チャレンジ,,\C[6]バーストチャレンジ！,高ダメージを叩き出せ！！
2194,単発,敵単体にダメージを与える。
(会心対応),の攻撃！,
2195,2発,敵単体にダメージを与える。
(会心対応),の攻撃！,
2196,3発,敵単体にダメージを与える。
(会心対応),の攻撃！,
2197,4発,敵単体にダメージを与える。
(会心対応),の攻撃！,
2198,全体,敵単体にダメージを与える。
(会心対応),の攻撃！,
2199,味付け効果(コッテリ),最大HP+60,,
2200,味付け効果(スッキリ),最大MP+30,,
2201,味付け効果(ピリカラ),攻撃力+10,,
2202,味付け効果(マロヤカ),防御力+10,,
2203,味付け効果(スッパイ),敏捷性+10,,
2204,暗黒世界,過去の記憶を取り戻し闇の力が覚醒した状態。
APPチャージ率+30%,,
2205,バフキエール,,はバフキエールを放った！,
2206,バフキエール,,はバフキエールを放った！,
2207,,,,
2208,●●バフキエール●●,,,
2209,超越,\C[10]能力限界値を解除する。,,
2210,,,,
2211,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2212,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2213,攻撃ヘルハウンド,敵単体にダメージを与える。
(会心対応),の攻撃！,
2214,マイドニックレーザー,,のマイドニックレーザー！,
2215,破壊コード[TAKAKO],,は破壊コード[TAKAKO]を放った！,
2216,詠唱・雷3,,の魔法攻撃！,
2217,シビレーナ・Lv3,,はシビレーナ・Lv3を唱えた！,
2218,,,,
2219,連続ヒット,,\C[6]\V[986] Combo Over！,
2220,振り払う,,しかし 振り払われてしまった！,
2221,くすねた,,\C[6]成功！アイテムをくすねた！,
2222,何も持ってない,,何も持っていない！,
2223,,,,
2224,Lv.MAX OVER,\C[10]全能力値+20,,
2225,,,,
2226,,,,
2227,,,,
2228,Lv.MAX OVER,\C[10]全能力値+20,,
2229,,,,
2230,Lv.LIMIT,\C[10]全能力値+20,,
2231,,,,
2232,べんき会話1,,Jack「カ、カウンターされただと！？,   器用な 便器だなー
2233,べんき会話2,,Venきなこ「誰が 便器だ！！,   貴様こそ ホモビ型ロボットみたいな 顔面だろうが！
2234,トゥルン会話1,,シグキン「催眠魔法か！？,   面倒な真似を・・・さっさと起きろバカ！
2235,？？？会話1,,？？？「私を 倒そうとでも？,   ・・・無駄なことだ。
2236,じぇらるたおした,,ジェラルディをたおした！,
2237,クラズキラ,,はクラズキラを唱えた！,
2238,,,,
2239,●ゲルメガパターン,,,
2240,PT＿攻撃→マトリ,敵単体にダメージを与える。
(会心対応),の攻撃！,
2241,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2242,PT＿防御→攻撃,身を守ることに専念し、受けるダメージを抑える。,は身を守っている。,
2243,マトリシカ,ランダムに三発雷撃を叩き込む。,はカオスマトリシカを唱えた！,
2244,PT＿ダマランカ→マトリ,,はダマランカを唱えた！,
2245,●キャノンパターン,,,
2246,PT＿攻撃→キャノン,,の攻撃！,
2247,キャノン,,はキャノン砲を放った！,
2248,PT＿シールド→キャノン,,の身を守りながら攻撃！,
2249,乱射,,はライフルを乱射した！,
2250,PT＿攻撃→クラスタ,,の攻撃！,
2251,クラスターバレット,,はｸﾗｽﾀｰﾊﾞﾚｯﾄを放った！,
2252,PT＿攻撃→レーザー,,の攻撃！,
2253,マイドニックレーザー,,のﾏｲﾄﾞﾆｯｸﾚｰｻﾞｰ！,
2254,PT＿本命ガン堀ミサイル,,は一斉にミサイルを放った！,
2255,,,,
2256,PT＿リロード→キャノン,,はリロードした！,
2257,キャノン,,はキャノン砲を放った！,
2258,リロード解除,,,
2259,ボルテックス,ほとばしる雷撃で敵を裂く。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:2】,の咆哮と共に雷撃がほとばしる！,
2260,ウルシーラ,,はウルシーラを唱えた！,
2261,PT＿リロード→攻撃,,はリロードした！,
2262,攻撃,,の攻撃！,
2263,●バハムートパターン,,,
2264,PT＿攻撃→フラッシュ,敵単体にダメージを与える。
(会心対応),の攻撃！,
2265,PT＿攻撃→ボンファイアー,敵単体にダメージを与える。
(会心対応),の攻撃！,
2266,ボンファイアー,強烈な業火を敵全体に浴びせる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,のボンファイアー！,
2267,フカレーナ・Lv4,旋風の魔法が敵全体を切り刻む
確率で 防御力を下げる,の魔法攻撃！,
2268,フカレーナ,,はフカレーナ・Lv4を唱えた！,
2269,PT＿攻撃→攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2270,攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2271,●ジャミックパターン,,,
2272,PT＿ジャミ攻撃→攻撃,,の攻撃！,
2273,ジャミ攻撃,,の攻撃！,
2274,PT＿ジャミ攻撃→リブロキ,,の攻撃！,
2275,PT＿ドレイン→アチナ3,,はエムドレインを唱えた！,
2276,●スパインパターン,,,
2277,PT＿攻撃攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
2278,攻撃刀,敵単体にダメージを与える。
(会心対応),の攻撃！,
2279,PT＿攻撃カマイタチ,敵単体にダメージを与える。
(会心対応),の攻撃！,
2280,カマイタチ,敵単体にダメージを与える。
(会心対応),はカマイタチを放った！,
2281,カマイタチ,,,
2282,PT＿攻撃ボンファイアー,敵単体にダメージを与える。
(会心対応),の攻撃！,
2283,PT＿ボンファリブロキ,強烈な業火を敵全体に浴びせる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,のボンファイアー！,
2284,,,,
2285,キリミ会話1,,キリミ「まだ 倒れないでね！,   ここからが 大事なんだからさ！
2286,キリミ会話2,,キリミ「よし！コレを試してみよう。,   耐えてね～！
2287,キリミ会話3,,シグキン「な・・・ッ,   何を・・・！！
2288,,,,
2289,ジャングルマザー会話,,ジャングル「さあ・・・遊びは終わりだ 死神！！,
2290,ノイズ,,は鼓膜をつんざく騒音を放った！,
2291,ノイズバース,騒音を放ち、敵味方問わず 頭痛を誘発させる。
【頭痛付与(50%)】,は鼓膜をつんざく騒音を放った！,
2292,コンボ,,\C[6]\V[986] Combo Over！,
